"CIE10","DESCRIPCION DIAGNOSTICO","GENERO","NÚMERO DE INCAPACIDADES","DIAS TOTALES INCAPACIDAD","PROMEDIO DIAS POR INCAPACIDAD","PERIODO DE CONSULTA"
"T200","QUEMADURA DE LA CABEZA Y DEL CUELLO, GRADO NO ESPECIFICADO","M","1","7","7","01/01/2019-30/06/2019"
"T221","QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, DE PRIMER GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO","M","1","7","7","01/01/2019-30/06/2019"
"T840","COMPLICACION MECANICA DE PROTESIS ARTICULAR INTERNA","M","3","90","30","01/01/2019-30/06/2019"
"T844","COMPLICACION MECANICA DE OTROS DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS ORTOPEDICOS INTERNOS","M","1","15","15","01/01/2019-30/06/2019"
"T846","INFECCION Y REACCION INFLAMATORIA DEBIDAS A DISPOSITIVO DE FIJACION INTERNA (CUALQUIER SITIO)","M","1","20","20","01/01/2019-30/06/2019"
"A058","OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS","F","1","1","1","01/07/2019-31/12/2020"
"V572","OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO: PERSONA QUE VIAJA FUERA DEL VEHICULO, LESIONADA EN ACCIDENTE NO DE TRANSITO","M","1","4","4","01/01/2019-30/06/2019"
"W557","MORDEDURA O ATAQUE DE OTROS MAMIFEROS: GRANJA","M","1","5","5","01/01/2019-30/06/2019"
"Y471","EFECTOS ADVERSOS DE BENZODIAZEPINAS","M","1","1","1","01/01/2019-30/06/2019"
"Y835","AMPUTACION DE MIEMBRO(S)","M","1","30","30","01/01/2019-30/06/2019"
"Z003","EXAMEN DEL ESTADO DE DESARROLLO DEL ADOLESCENTE","M","2","2","1","01/01/2019-30/06/2019"
"Z637","PROBLEMAS RELACIONADOS CON OTROS HECHOS ESTRESANTES QUE AFECTAN A LA FAMILIA Y AL HOGAR","M","1","1","1","01/01/2019-30/06/2019"
"A064","ABSCESO AMEBIANO DEL HIGADO","F","2","15","8","01/07/2019-31/12/2020"
"A085","OTRAS INFECCIONES INTESTINALES ESPECIFICADAS","F","1","2","2","01/07/2019-31/12/2020"
"A09X","DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO","F","124","273","2","01/07/2019-31/12/2020"
"A90X","FIEBRE DEL DENGUE [DENGUE CLASICO]","F","157","857","5","01/07/2019-31/12/2020"
"A91X","FIEBRE DEL DENGUE HEMORRAGICO","F","3","14","5","01/07/2019-31/12/2020"
"A929","FIEBRE VIRAL TRANSMITIDA POR MOSQUITO, SIN OTRA ESPECIFICACION","F","2","6","3","01/07/2019-31/12/2020"
"B002","GINGIVOESTOMATITIS Y FARINGOAMIGDALITIS HERPETICA","F","1","3","3","01/07/2019-31/12/2020"
"B005","OCULOPATIA HERPETICA","F","1","1","1","01/07/2019-31/12/2020"
"B019","VARICELA SIN COMPLICACIONES","F","11","155","14","01/07/2019-31/12/2020"
"B028","HERPES ZOSTER CON OTRAS COMPLICACIONES","F","1","3","3","01/07/2019-31/12/2020"
"B07X","VERRUGAS VIRICAS","F","1","1","1","01/07/2019-31/12/2020"
"B150","HEPATITIS AGUDA TIPO A, SIN COMA HEPATICO","F","1","10","10","01/07/2019-31/12/2020"
"B178","OTRAS HEPATITIS VIRALES AGUDAS ESPECIFICADAS","F","3","29","10","01/07/2019-31/12/2020"
"B199","HEPATITIS VIRAL NO ESPECIFICADA SIN COMA","F","2","18","9","01/07/2019-31/12/2020"
"B269","PAROTIDITIS, SIN COMPLICACIONES","F","1","4","4","01/07/2019-31/12/2020"
"B338","OTRAS ENFERMEDADES VIRALES ESPECIFICADAS","F","1","10","10","01/07/2019-31/12/2020"
"B342","INFECCION DEBIDA A CORONAVIRUS, SIN OTRA ESPECIFICACION","F","2","21","11","01/07/2019-31/12/2020"
"B349","INFECCION VIRAL, NO ESPECIFICADA","F","32","159","5","01/07/2019-31/12/2020"
"B829","PARASITOSIS INTESTINAL, SIN OTRA ESPECIFICACION","F","2","4","2","01/07/2019-31/12/2020"
"B86X","ESCABIOSIS","F","1","1","1","01/07/2019-31/12/2020"
"B872","MIASIS OCULAR","F","1","7","7","01/07/2019-31/12/2020"
"C189","TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA","F","1","30","30","01/07/2019-31/12/2020"
"C443","TUMOR MALIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA","F","1","15","15","01/07/2019-31/12/2020"
"C446","TUMOR MALIGNO DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO","F","1","10","10","01/07/2019-31/12/2020"
"C447","TUMOR MALIGNO DE LA PIEL DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA","F","1","25","25","01/07/2019-31/12/2020"
"D069","CARCINOMA IN SITU DEL CUELLO DEL UTERO, PARTE NO ESPECIFICADA","F","1","30","30","01/07/2019-31/12/2020"
"D070","CARCINOMA IN SITU DEL ENDOMETRIO","F","1","15","15","01/07/2019-31/12/2020"
"D100","TUMOR BENIGNO DEL LABIO","F","1","7","7","01/07/2019-31/12/2020"
"D170","TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE CABEZA, CARA Y CUELLO","F","2","6","3","01/07/2019-31/12/2020"
"D171","TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DEL TRONCO","F","4","11","3","01/07/2019-31/12/2020"
"D172","TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE MIEMBROS","F","1","15","15","01/07/2019-31/12/2020"
"D173","TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS","F","1","2","2","01/07/2019-31/12/2020"
"D210","TUMOR BENIGNO DEL TEJIDO CUNJUNTIVO Y DE OTROS TEJIDOS BLANDOS DE CABEZA, CARA Y CUELLO","F","1","1","1","01/07/2019-31/12/2020"
"D219","TUMOR BENIGNO DEL TEJIDO CUNJUNTIVO Y DE OTROS TEJIDOS BLANDOS, DE SITIO NO ESPECIFICADO","F","12","38","3","01/07/2019-31/12/2020"
"D231","TUMOR BENIGNO DE LA PIEL DEL PARPADO, INCLUIDA LA COMISURA PALPEBRAL","F","1","2","2","01/07/2019-31/12/2020"
"D239","TUMOR BENIGNO DE LA PIEL, SITIO NO ESPECIFICADO","F","1","1","1","01/07/2019-31/12/2020"
"D251","LEIOMIOMA INTRAMURAL DEL UTERO","F","2","60","30","01/07/2019-31/12/2020"
"D252","LEIOMIOMA SUBSEROSO DEL UTERO","F","1","30","30","01/07/2019-31/12/2020"
"D259","LEIOMIOMA DEL UTERO, SIN OTRA ESPECIFICACION","F","12","302","25","01/07/2019-31/12/2020"
"D27X","TUMOR BENIGNO DEL OVARIO","F","1","30","30","01/07/2019-31/12/2020"
"D281","TUMOR BENIGNO DE LA VAGINA","F","2","15","8","01/07/2019-31/12/2020"
"D310","TUMOR BENIGNO DE LA CONJUNTIVA","F","1","15","15","01/07/2019-31/12/2020"
"D485","TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA PIEL","F","7","32","5","01/07/2019-31/12/2020"
"D486","TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA MAMA","F","4","28","7","01/07/2019-31/12/2020"
"D509","ANEMIA POR DEFICIENCIA DE HIERRO SIN OTRA ESPECIFICACION","F","1","2","2","01/07/2019-31/12/2020"
"D695","TROMBOCITOPENIA SECUNDARIA","F","2","12","6","01/07/2019-31/12/2020"
"D696","TROMBOCITOPENIA NO ESPECIFICADA","F","1","6","6","01/07/2019-31/12/2020"
"E039","HIPOTIROIDISMO, NO ESPECIFICADO","F","1","1","1","01/07/2019-31/12/2020"
"E041","NODULO TIROIDEO SOLITARIO NO TOXICO","F","3","13","4","01/07/2019-31/12/2020"
"E101","DIABETES MELLITUS INSULINODEPENDIENTE CON CETOACIDOSIS","F","1","8","8","01/07/2019-31/12/2020"
"E104","DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES NEUROLOGICAS","F","1","1","1","01/07/2019-31/12/2020"
"E106","DIABETES MELLITUS INSULINODEPENDIENTE CON OTRAS COMPLICACIONES ESPECIFICADAS","F","1","22","22","01/07/2019-31/12/2020"
"E116","DIABETES MELLITUS NO INSULINODEPENDIENTE CON OTRAS COMPLICACIONES ESPECIFICADAS","F","1","5","5","01/07/2019-31/12/2020"
"E660","OBESIDAD DEBIDA A EXCESO DE CALORIAS","F","2","2","1","01/07/2019-31/12/2020"
"E86X","DEPLECION DEL VOLUMEN","F","2","8","4","01/07/2019-31/12/2020"
"E878","OTROS TRASTORNOS DEL EQUILIBRIO DE LOS ELECTROLITOS Y DE LOS LIQUIDOS, NO CLASIFICADOS EN OTRA PARTE","F","1","2","2","01/07/2019-31/12/2020"
"F000","DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TEMPRANO (G30.0)","F","3","90","30","01/07/2019-31/12/2020"
"F009","DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, NO ESPECIFICADA (G30.9)","F","2","60","30","01/07/2019-31/12/2020"
"F064","TRASTORNO DE ANSIEDAD, ORGANICO","F","1","22","22","01/07/2019-31/12/2020"
"F072","SINDROME POSTCONCUSIONAL","F","1","5","5","01/07/2019-31/12/2020"
"F313","TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO PRESENTE LEVE O MODERADO","F","1","5","5","01/07/2019-31/12/2020"
"F319","TRASTORNO AFECTIVO BIPOLAR, NO ESPECIFICADO","F","1","4","4","01/07/2019-31/12/2020"
"F320","EPISODIO DEPRESIVO LEVE","F","2","8","4","01/07/2019-31/12/2020"
"F323","EPISODIO DEPRESIVO GRAVE CON SINTOMAS PSICOTICOS","F","1","5","5","01/07/2019-31/12/2020"
"F412","TRASTORNO MIXTO DE ANSIEDAD Y DEPRESION","F","10","152","15","01/07/2019-31/12/2020"
"F413","OTROS TRASTORNOS DE ANSIEDAD MIXTOS","F","3","60","20","01/07/2019-31/12/2020"
"F419","TRASTORNO DE ANSIEDAD , NO ESPECIFICADO","F","3","7","2","01/07/2019-31/12/2020"
"F431","TRASTORNO DE ESTRÉS POSTRAUMATICO","F","5","120","24","01/07/2019-31/12/2020"
"F454","TRASTORNO DE DOLOR PERSISTENTE SOMATOMORFO","F","1","7","7","01/07/2019-31/12/2020"
"G20X","ENFERMEDAD DE PARKINSON","F","1","30","30","01/07/2019-31/12/2020"
"G22X","PARKINSONISMO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE","F","2","150","75","01/07/2019-31/12/2020"
"G243","TORTICOLIS ESPASMODICA","F","1","1","1","01/07/2019-31/12/2020"
"G408","OTRAS EPILEPSIAS","F","2","62","31","01/07/2019-31/12/2020"
"G430","MIGRAÑA SIN AURA [MIGRAÑA COMUN]","F","2","5","3","01/07/2019-31/12/2020"
"G431","MIGRAÑA CON AURA [MIGRAÑA CLASICA]","F","5","11","2","01/07/2019-31/12/2020"
"G432","ESTADO MIGRAÑOSO","F","5","16","3","01/07/2019-31/12/2020"
"G433","MIGRAÑA COMPLICADA","F","5","11","2","01/07/2019-31/12/2020"
"G438","OTRAS MIGRAÑAS","F","6","15","3","01/07/2019-31/12/2020"
"G439","MIGRAÑA, NO ESPECIFICADA","F","24","52","2","01/07/2019-31/12/2020"
"G442","CEFALEA DEBIDA A TENSION","F","3","9","3","01/07/2019-31/12/2020"
"G448","OTROS SINDROMES DE CEFALEA ESPECIFICADOS","F","12","32","3","01/07/2019-31/12/2020"
"G473","APNEA DEL SUEÑO","F","3","39","13","01/07/2019-31/12/2020"
"G500","NEURALGIA DEL TRIGEMINO","F","2","6","3","01/07/2019-31/12/2020"
"G510","PARALISIS DE BELL","F","2","8","4","01/07/2019-31/12/2020"
"G531","PARALISIS MULTIPLE DE LOS NERVIOS CRANEALES EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE (A00-B99)","F","1","2","2","01/07/2019-31/12/2020"
"G540","TRASTORNOS DEL PLEXO BRAQUIAL","F","1","30","30","01/07/2019-31/12/2020"
"G551","COMPRESIONES DE LAS RAICES Y PLEXOS NERVIOSOS EN TRASTORNOS DE LOS DISCOS INTERVERTEBRALES (M50-M51)","F","1","15","15","01/07/2019-31/12/2020"
"G560","SINDROME DEL TUNEL CARPIANO","F","10","224","22","01/07/2019-31/12/2020"
"G564","CAUSALGIA","F","1","30","30","01/07/2019-31/12/2020"
"G578","OTRAS MONONEUROPATIAS DEL MIEMBRO INFERIOR","F","2","120","60","01/07/2019-31/12/2020"
"G610","SINDROME DE GUILLAIN-BARRE","F","5","150","30","01/07/2019-31/12/2020"
